,SRC,TRG
1877,Python program to compute sum of digits in number,"def sumDigits(no):  
    return 0 if no == 0 else int(no % 10) + sumDigits(int(no / 10))   
n = 1234511
print(sumDigits(n))"
1878,Find the middle element of a random number list,"my_list = [4,3,2,9,10,44,1]
print(""mid value is "",my_list[int(len(my_list)/2)])"
1879,Sort the list in ascending order,"my_list = [4,3,2,9,10,44,1]
my_list.sort()
print(f""Ascending Order list:,{my_list}"")"
1880,Sort the list in descending order,"my_list = [4,3,2,9,10,44,1]
my_list.sort(reverse=True)
print(f""Descending Order list:,{my_list}"")"
1881,Concatenation of two List,"my_list1 = [4,3,2,9,10,44,1]
my_list2 = [5,6,2,8,15,14,12]
print(f""Sum of two list:,{my_list1+my_list2}"")"
1882,Removes the item at the given index from the list and returns the removed item,"my_list1 = [4,3,2,9,10,44,1,9,12]
index = 4
print(f""Sum of two list:,{my_list1.pop(index)}"")"
1883,Adding Element to a List,"animals = ['cat', 'dog', 'rabbit']
animals.append('guinea pig')
print('Updated animals list: ', animals)"
1884,Returns the number of times the specified element appears in the list,"vowels = ['a', 'e', 'i', 'o', 'i', 'u']
count = vowels.count('i')
print('The count of i is:', count)"
1885,Count Tuple Elements Inside List,"random = ['a', ('a', 'b'), ('a', 'b'), [3, 4]]
count = random.count(('a', 'b'))
print(""The count of ('a', 'b') is:"", count)"
1886,Removes all items from the list,"list = [{1, 2}, ('a'), ['1.1', '2.2']]
list.clear()
print('List:', list)"
1887,access first characters in a string,"word = ""Hello World""
letter=word[0]
print(f""First Charecter in String:{letter}"")"
1888,access Last characters in a string,"word = ""Hello World""
letter=word[-1]
print(f""First Charecter in String:{letter}"")"
1889,Generate a list by list comprehension,"list = [x for x in range(10)]
print(f""List Generated by list comprehension:{list}"")"
1890,Set the values in the new list to upper case,"list = ""AMITKAYAL""
newlist = [x.upper() for x in list]
print(f""New list to upper case:{newlist}"")"
1891,Sort the string list alphabetically,"thislist = [""orange"", ""mango"", ""kiwi"", ""pineapple"", ""banana""]
thislist.sort()
print(f""Sorted List:{thislist}"")"
1892,Join Two Sets,"set1 = {""a"", ""b"" , ""c""}
set2 = {1, 2, 3}
set3 = set2.union(set1)
print(f""Joined Set:{set3}"")"
1893,keep only the items that are present in both sets,"x = {""apple"", ""banana"", ""cherry""}
y = {""google"", ""microsoft"", ""apple""}
x.intersection_update(y)
print(f""Duplicate Value in Two set:{x}"")"
1894,Keep All items from List But NOT the Duplicates,"x = {""apple"", ""banana"", ""cherry""}
y = {""google"", ""microsoft"", ""apple""}
x.symmetric_difference_update(y)
print(f""Duplicate Value in Two set:{x}"")"
1895,Create and print a dictionary,"thisdict = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}
print(f""Sample Dictionary:{thisdict}"")"
1896,Calculate the length of dictionary,"thisdict = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}
print(f""Length of Dictionary:{len(thisdict)}"")"
1897,Evaluate a string and a number,"print(bool(""Hello""))
print(bool(15))"
1898,Calculate length of a string,"word = ""Hello World""
print(f""Length of string: {len(word)}"")"
1899,Count the number of spaces in a sring,"s = ""Count, the number of spaces""
lenx = s.count(' ')
print(f""number of spaces in sring: {lenx}"")"
1900,Split Strings,"word = ""Hello World""
ksplit = word.split(' ') 
print(f""Splited Strings: {ksplit}"")"
1901,Prints ten dots,"ten = ""."" * 10
print(f""Ten dots: {ten}"")"
1902,Replacing a string with another string,"word = ""Hello World""
replace = ""Bye""
input = ""Hello""
after_replace = word.replace(input, replace)
print(f""String ater replacement: {after_replace}"")"
1903,removes leading characters,"word = "" xyz ""
lstrip = word.lstrip()
print(f""String ater removal of leading characters:{lstrip}"")"
1904,removes trailing characters,"word = "" xyz ""
rstrip = word.rstrip()
print(f""String ater removal of trailing characters:{rstrip}"")"
1905,check if all char are alphanumeric,"word = ""Hello World""
check = word.isalnum()
print(f""All char are alphanumeric?:{check}"")"
1906,check if all char in the string are alphabetic,"word = ""Hello World""
check = word.isalpha()
print(f""All char are alphabetic?:{check}"")"
1907,test if string contains digits,"word = ""Hello World""
check = word.isdigit()
print(f""String contains digits?:{check}"")"
1908,Test if string contains upper case,"word = ""Hello World""
check = word.isupper()
print(f""String contains upper case?:{check}"")"
1909,Test if string starts with H,"word = ""Hello World""
check = word.startswith('H')
print(f""String starts with H?:{check}"")"
1910,Returns an integer value for the given character,"str = ""A""
val = ord(str)
print(f""Integer value for the given character?:{val}"")"
1911,Fibonacci series up to 100,"n = 100
result = []
a, b = 0 , 1
while b < n:
  result. append( b)
  a, b = b, a + b
final = result
print(f""Fibonacci series up to 100:{final}"")"
1912,Counting total Digits in a string,"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0,len(str1)):
  char = str1[i]
  if(char.isdigit()):
    digitCount += 1
print('Number of digits: ',digitCount)"
1913,Counting total alphanumeric in a string,"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0,len(str1)):
  char = str1[i]
  if(char.isalpha()):
    digitCount += 1
print('Number of alphanumeric: ',digitCount)"
1914,Counting total Upper Case in a string,"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0,len(str1)):
  char = str1[i]
  if(char.upper()):
    digitCount += 1
print('Number total Upper Case: ',digitCount)"
1915,Counting total lower Case in a string,"str1 = ""abc4234AFdeaa""
digitCount = 0
for i in range(0,len(str1)):
  char = str1[i]
  if(char.lower()):
    digitCount += 1
print('Number total lower Case: ',digitCount)"
1916,Bubble sort in python,"list1 = [1, 5, 3, 4]
for i in range(len(list1)-1):
  for j in range(i+1,len(list1)):
    if(list1[i] > list1[j]):
      temp = list1[i]
      list1[i] = list1[j]
      list1[j] = temp
print(""Bubble Sorted list: "",list1)"
1917,Compute the product of every pair of numbers from two lists,"list1 = [1, 2, 3]
list2 = [5, 6, 7] 
final = [a*b for a in list1 for b in list2]
print(f""Product of every pair of numbers from two lists:{final}"")"
1918,Calculate the sum of every pair of numbers from two lists,"list1 = [1, 2, 3]
list2 = [5, 6, 7] 
final = [a+b for a in list1 for b in list2]
print(f""sum of every pair of numbers from two lists:{final}"")"
1919,Calculate the pair-wise product of two lists,"list1 = [1, 2, 3]
list2 = [5, 6, 7] 
final = [list1[i]*list2[i] for i in range(len(list1))]
print(f""pair-wise product of two lists:{final}"")"
1920,Remove the last element from the stack,"s = [1,2,3,4]
print(f""last element from the stack:{s.pop()}"")"
1921,Insert a number at the beginning of the queue,"q = [1,2,3,4]
q.insert(0,5)
print(f""Revised List:{q}"")"
1922,Addition of two vector,"v1 = [1,2,3]
v2 = [1,2,3]
s1 = [0,0,0]
for i in range(len(v1)):
  s1[i] = v1[i] + v2[i]
print(f""New Vector:{s1}"")"
1923,Replace negative prices with 0 and leave the positive values unchanged in a list,"original_prices = [1.25, -9.45, 10.22, 3.78, -5.92, 1.16]
prices = [i if i > 0 else 0 for i in original_prices]
print(f""Final List:{prices}"")"
1924,Convert dictionary to JSON,"import json
person_dict = {'name': 'Bob',
'age': 12,
'children': None
}
person_json = json.dumps(person_dict)
print(person_json)"
1925,Writing JSON to a file,"import json
person_dict = {""name"": ""Bob"",
""languages"": [""English"", ""Fench""],
""married"": True,
""age"": 32
}
with open('person.txt', 'w') as json_file:
  json.dump(person_dict, json_file)"
1926,Pretty print JSON,"import json
person_string = '{""name"": ""Bob"", ""languages"": ""English"", ""numbers"": [2, 1.6, null]}'
person_dict = json.loads(person_string)
print(json.dumps(person_dict, indent = 4, sort_keys=True))"
1927,Check if the key exists or not in JSON,"import json
studentJson =""""""{
   ""id"": 1,
   ""name"": ""john wick"",
   ""class"": 8,
   ""percentage"": 75,
   ""email"": ""jhon@pynative.com""
}""""""
print(""Checking if percentage key exists in JSON"")
student = json.loads(studentJson)
if ""percentage"" in student:
    print(""Key exist in JSON data"")
    print(student[""name""], ""marks is: "", student[""percentage""])
else:
    print(""Key doesn't exist in JSON data"")"
1928,Check if there is a value for a key in JSON,"import json
studentJson =""""""{
   ""id"": 1,
   ""name"": ""Ishwar Venugopal"",
   ""class"": null,
   ""percentage"": 35,
   ""email"": ""ishwarraja@gmail.com""
}""""""
student = json.loads(studentJson)
if not (student.get('email') is None):
     print(""value is present for given JSON key"")
     print(student.get('email'))
else:
    print(""value is not present for given JSON key"")"
1929,Sort JSON keys in Python and write it into a file,"import json
sampleJson = {""id"" : 1, ""name"" : ""value2"", ""age"" : 29}
with open(""sampleJson.json"", ""w"") as write_file:
    json.dump(sampleJson, write_file, indent=4, sort_keys=True)
print(""Done writing JSON data into a file"")"
1930,Given a Python list. Turn every item of a list into its square,"aList = [1, 2, 3, 4, 5, 6, 7]
aList =  [x * x for x in aList]
print(aList)"
1931,Remove empty strings from the list of strings,"list1 = [""Mike"", """", ""Emma"", ""Kelly"", """", ""Brad""]
resList = [i for i in (filter(None, list1))]
print(resList)"
1932,"Write a program which will achieve given a Python list, remove all occurrence of an input from the list","list1 = [5, 20, 15, 20, 25, 50, 20]
def removeValue(sampleList, val):
   return [value for value in sampleList if value != val]
resList = removeValue(list1, 20)
print(resList)"
1933,Generate 3 random integers between 100 and 999 which is divisible by 5,"import random
print(""Generating 3 random integer number between 100 and 999 divisible by 5"")
for num in range(3):
    print(random.randrange(100, 999, 5), end=', ')"
1934,Pick a random character from a given String,"import random
name = 'pynative'
char = random.choice(name)
print(""random char is "", char)"
1935,Generate  random String of length 5,"import random
import string
def randomString(stringLength):
    """"""Generate a random string of 5 charcters""""""
    letters = string.ascii_letters
    return ''.join(random.choice(letters) for i in range(stringLength))
print (""Random String is "", randomString(5) )"
1936,"Write a program which will create a new string by appending s2 in the middle of s1 given two strings, s1 and s2","def appendMiddle(s1, s2):
  middleIndex = int(len(s1) /2)
  middleThree = s1[:middleIndex:]+ s2 +s1[middleIndex:]
  print(""After appending new string in middle"", middleThree)
appendMiddle(""Ault"", ""Kelly"")"
1937,Arrange string characters such that lowercase letters should come first,"str1 = ""PyNaTive""
lower = []
upper = []
for char in str1:
    if char.islower():
        lower.append(char)
    else:
        upper.append(char)
sorted_string = ''.join(lower + upper)
print(sorted_string)"
1938,"Given a string, return the sum and average of the digits that appear in the string, ignoring all other characters","import re
inputStr = ""English = 78 Science = 83 Math = 68 History = 65""
markList = [int(num) for num in re.findall(r'\b\d+\b', inputStr)]
totalMarks = 0
for mark in markList:
  totalMarks+=mark
percentage = totalMarks/len(markList)  
print(""Total Marks is:"", totalMarks, ""Percentage is "", percentage)"
1939,"Given an input string, count occurrences of all characters within a string","str1 = ""Apple""
countDict = dict()
for char in str1:
  count = str1.count(char)
  countDict[char]=count
print(countDict)"
1940,Reverse a given string,"str1 = ""PYnative""
print(""Original String is:"", str1)
str1 = str1[::-1]
print(""Reversed String is:"", str1)"
1941,Remove special symbols/Punctuation from a given string,"import string
str1 = ""/*Jon is @developer & musician""
new_str = str1.translate(str.maketrans('', '', string.punctuation))
print(""New string is "", new_str)"
1942,Removal all the characters other than integers from string,"str1 = 'I am 25 years and 10 months old'
res = """".join([item for item in str1 if item.isdigit()])
print(res)"
1943,From given string replace each punctuation with,"from string import punctuation
str1 = '/*Jon is @developer & musician!!'
replace_char = '#'
for char in punctuation:
    str1 = str1.replace(char, replace_char)
print(""The strings after replacement : "", str1)"
1944,Given a list iterate it and count the occurrence of each element and create a dictionary to show the count of each elemen,"sampleList = [11, 45, 8, 11, 23, 45, 23, 45, 89]
countDict = dict()
for item in sampleList:
  if(item in countDict):
    countDict[item] += 1
  else:
    countDict[item] = 1
print(""Printing count of each item  "",countDict)"
1945,Given a two list of equal size create a set such that it shows the element from both lists in the pair,"firstList = [2, 3, 4, 5, 6, 7, 8]
secondList = [4, 9, 16, 25, 36, 49, 64]
result = zip(firstList, secondList)
resultSet = set(result)
print(resultSet)"
1946,Given a two sets find the intersection and remove those elements from the first set,"firstSet  = {23, 42, 65, 57, 78, 83, 29}
secondSet = {57, 83, 29, 67, 73, 43, 48}
intersection = firstSet.intersection(secondSet)
for item in intersection:
  firstSet.remove(item)
print(""First Set after removing common element "", firstSet)"
1947,Given a dictionary get all values from the dictionary and add it in a list but don’t add duplicates,"speed  ={'jan':47, 'feb':52, 'march':47, 'April':44, 'May':52, 'June':53,
          'july':54, 'Aug':44, 'Sept':54} 
speedList = []
for item in speed.values():
  if item not in speedList:
    speedList.append(item)
print(""unique list"", speedList)"
1948,Convert decimal number to octal,"print('%o,' % (8))"
1949,Convert string into a datetime object,"from datetime import datetime
date_string = ""Feb 25 2020  4:20PM""
datetime_object = datetime.strptime(date_string, '%b %d %Y %I:%M%p')
print(datetime_object)"
1950,Subtract a week from a given date,"from datetime import datetime, timedelta
given_date = datetime(2020, 2, 25)
days_to_subtract = 7
res_date = given_date - timedelta(days=days_to_subtract)
print(res_date)"
1951,Find the day of week of a given date?,"from datetime import datetime
given_date = datetime(2020, 7, 26)
print(given_date.strftime('%A'))"
1952,Add week (7 days) and 12 hours to a given date,"from datetime import datetime, timedelta
given_date = datetime(2020, 3, 22, 10, 00, 00)
days_to_add = 7
res_date = given_date + timedelta(days=days_to_add, hours=12)
print(res_date)"
1953,Calculate number of days between two given dates,"from datetime import datetime
date_1 = datetime(2020, 2, 25).date()
date_2 = datetime(2020, 9, 17).date()
delta = None
if date_1 > date_2:
    delta = date_1 - date_2
else:
    delta = date_2 - date_1
print(""Difference is"", delta.days, ""days"")"
1954,Write a recursive function to calculate the sum of numbers from 0 to 10,"def calculateSum(num):
    if num:
        return num + calculateSum(num-1)
    else:
        return 0
res = calculateSum(10)
print(res)"
1955,Generate a Python list of all the even numbers between two given numbers,"num1 = 4
num2 = 30
myval = [i for i in range(num1, num2, 2)]
print(myval)"
1956,Return the largest item from the given list,"aList = [4, 6, 8, 24, 12, 2]
print(max(aList))"
1957,"Write a program to extract each digit from an integer, in the reverse order","number = 7536
while (number > 0):
    digit = number % 10
    number = number // 10
    print(digit, end="" "")"
1958,"Given a Python list, remove all occurrence of a given number from the list","num1 = 20
list1 = [5, 20, 15, 20, 25, 50, 20]
def removeValue(sampleList, val):
   return [value for value in sampleList if value != val]
resList = removeValue(list1, num1)
print(resList)"
1959,Shuffle a list randomly,"import random
list = [2,5,8,9,12]
random.shuffle(list)
print (""Printing shuffled list "", list)"
1960,Generate a random n-dimensional array of float numbers,"import numpy
random_float_array = numpy.random.rand(2, 2)
print(""2 X 2 random float array in [0.0, 1.0] \n"", random_float_array,""\n"")"
1961,Generate random Universally unique IDs,"import uuid
safeId = uuid.uuid4()
print(""safe unique id is "", safeId)"
1962,Choose given number of elements from the list with different probability,"import random
num1 =5
numberList = [111, 222, 333, 444, 555]
print(random.choices(numberList, weights=(10, 20, 30, 40, 50), k=num1))"
1963,Generate weighted random numbers,"import random
randomList = random.choices(range(10, 40, 5), cum_weights=(5, 15, 10, 25, 40, 65), k=6)
print(randomList)"
1964,generating a reliable secure random number,"import secrets
print(""Random integer number generated using secrets module is "")
number = secrets.randbelow(30)
print(number)"
1965,Calculate memory is being used by an list in Python,"import sys
list1 = ['Scott', 'Eric', 'Kelly', 'Emma', 'Smith']
print(""size of list = "",sys.getsizeof(list1))"
1966,Find if all elements in a list are identical,"listOne = [20, 20, 20, 20]
print(""All element are duplicate in listOne:"", listOne.count(listOne[0]) == len(listOne))"
1967,Merge two dictionaries in a single expression,"currentEmployee = {1: 'Scott', 2: ""Eric"", 3:""Kelly""}
formerEmployee  = {2: 'Eric', 4: ""Emma""}
allEmployee = {**currentEmployee, **formerEmployee}
print(allEmployee)"
1968,Convert two lists into a dictionary,"ItemId = [54, 65, 76]
names = [""Hard Disk"", ""Laptop"", ""RAM""]
itemDictionary = dict(zip(ItemId, names))
print(itemDictionary)"
1969,Alternate cases in String,"test_str = ""geeksforgeeks""
res = """" 
for idx in range(len(test_str)): 
    if not idx % 2 : 
       res = res + test_str[idx].upper() 
    else: 
       res = res + test_str[idx].lower() 
print(res)"
1970,Write a Python program to validate an Email,"import re 
regex = '^[a-z0-9]+[\._]?[a-z0-9]+[@]\w+[.]\w{2,3}$'
def check(email):
  if(re.search(regex,email)):
    print(""Valid Email"")
  else:
    print(""Invalid Email"")
email = ""ishwarraja@gmail.com""
check(email)"
1971,1. python function to return the nth fibonacci number,"def fib(n):
   if n <= 1:
      return n
   else:
      return (fib(n-1) + fib(n-2))"
1972,2. python function to return the factorial of a number,"def fact(n):
   if n == 1:
      return n
   else:
      return n * fact(n-1)"
1973,3. python function to return the squares of a list of numbers,"def sq(n):
   return [i**2 for i in range(n)]"
1974,3. python function to return the squareroot of a list of numbers,"def sqrt(n):
   return [i**0.5 for i in range(n)]"
1975,4. python function to add even number from 1st list and odd number from 2nd list,"def even_odd(l1, l2):
    return[x + y for x, y in zip(l1, l2) if x % 2 ==0 and y % 2 != 0]"
1976,5. python function to strip vowels from a string,"def strip_vowel_str(str):
    vowels = ['a', 'e', 'i', 'o', 'u']
    return """".join([x for x in str if x not in vowels])"
1977,6. python ReLu function,"def relu_like_activation(l):
    return[0 if x < 0 else x for x in l]"
1978,7. python sigmoid function,"def sigmoid_activation(l):
    return[round(1/(1+math.exp(-x)),2) for x in l]"
1979,8. python function to identify profane words,"def profane_filter(str):
    profane_word_url = ""https://raw.githubusercontent.com/RobertJGabriel/Google-profanity-words/master/list.txt""
    file = urllib.request.urlopen(profane_word_url)
    for line in file:
        decoded_line = line.decode(""utf-8"")
    return decoded_line
    str = re.findall(r'\w+', str)
    return [i for i in str if i in decoded_line]"
1980,9. python function to add even mubers in a list,"def add_even_num(l):
    sum = reduce(lambda a, b: a + b, filter(lambda a: (a % 2 == 0), l))
    return sum"
1981,10. python function to find the area of a circle,"def circle_area(r):
    return 22/7 * r**2"
1982,11. python program to find whether a number is prime,"def test_prime(n):
    if (n==1):
        return False
    elif (n==2):
        return True;
    else:
        for x in range(2,n):
            if(n % x==0):
                return False
        return True"
1983,12. python function to return the cubes of a list of numbers,"def cube(n):
   return [i*i*i for i in range(n)]"
1984,13. python function to find the average of given numbers,"def average():
    numbers = []
    def add(number):
        numbers.append(number)
        total = sum(numbers)
        count = len(numbers)
        return total/count
    return add
a = average()
a(10)
a(20)
a(45)"
1985,14. python function to create adders,"def create_adders():
    adders = []
    for n in range(1, 4):
        adders.append(lambda x, y=n: x + y)
    return adders
adders = create_adders()"
1986,15. python function for datetime,"from datetime import datetime
datetime.utcnow()
def log(msg, *, dt = datetime.utcnow()):
    print(f'Message at {dt} was {msg}')"
1987,16. python function for count of address reference,"import ctypes
def ref_count(address : int): #what is int doing here? Annotations
    return ctypes.c_long.from_address(address).value"
1988,17. python function to modify a tuple,"def modify_tuple(t):
    print(f'Initial t mem-add = {id(t)}')
    t[0].append(100)
    print(f'Final t mem-add = {id(t)}')"
1989,18. python program to compare strings,"def compare_using_equals(n):
    a = 'a long string that is not intered' * 200
    b = 'a long string that is not intered' * 200
    for i in range(n):
        if a == b:
            pass"
1990,19. python program to compare strings using interning,"import sys
def compare_using_interning(n):
    a = sys.intern('a long string that is not intered' * 200)
    b = sys.intern('a long string that is not intered' * 200)
    for i in range(n):
        if a is b:
            pass"
1991,20. python program to calculate the time taken to create a float and decimal,"import time
def run_float(n = 1):
    for i in range(n):
        a = 3.1415
def run_decimal(n = 1):
    for i in range(n):
        a = Decimal('3.1415')
n = 10000000
start = time.perf_counter()
run_float(n)
end = time.perf_counter()
print ('float: ', end - start)
start = time.perf_counter()
run_decimal(n)
end = time.perf_counter()
print ('decimal: ', end - start)"
1992,21. python function for factorial using reduce,"def fact(n):
    from operator import mul
    from functools import reduce
    return reduce(mul, range(1, n+1))
fact(10)"
1993,22. python program to find if given co-ordinates are inside circle,"from random import uniform
from math import sqrt
def random_shot(rad):
    r_x = uniform(-rad, rad)
    r_y = uniform(-rad, rad)
    if sqrt(r_x**2 + r_y**2) <= rad:
        is_in_circle = True
    else:
        is_in_circle = False
    return r_x, r_y, is_in_circle"
1994,23. python function to find the area of a circle,"def square_area(x):
    return x ** 2"
1995,24. python program for the sum of first n numbers.,"def sum_n_num(n):
    return n * (n + 1)/2"
1996,28. Python Program to Swap Two Numbers,"a = float(input("" Please Enter the First Value a: ""))
b = float(input("" Please Enter the Second Value b: ""))
print(""Before Swapping two Number: a = {0} and b = {1}"".format(a, b))
temp = a
a = b
b = temp
print(""After Swapping two Number: a = {0} and b = {1}"".format(a, b))"
1997,29. Python Program to Concatenate Strings,"str1 = input(""Please Enter the First  String : "")
str2 = input(""Please Enter the Second String : "")
concat1 = str1 + str2
print(""The Final String After Python String Concatenation = "", concat1)
concat2 = str1 + ' ' + str2
print(""The Final After String Concatenation with Space = "", concat2)"
1998,32. Python Program to Convert String to Uppercase,"string = input(""Please Enter your Own String : "")
string1 = string.upper()
print(""\nOriginal String in Lowercase  =  "", string)
print(""The Given String in Uppercase =  "", string1)"
1999,33. Python Program to Calculate Simple Interest,"princ_amount = float(input("" Please Enter the Principal Amount : ""))
rate_of_int = float(input("" Please Enter the Rate Of Interest   : ""))
time_period = float(input("" Please Enter Time period in Years   : ""))
simple_interest = (princ_amount * rate_of_int * time_period) / 100
print(""\nSimple Interest for Principal Amount {0} = {1}"".format(princ_amount, simple_interest))"
2000,34. Python Program to Map two lists into a Dictionary,"keys = ['name', 'age', 'job']
values = ['John', 25, 'Developer']
myDict = {k: v for k, v in zip(keys, values)}
print(""Dictionary Items  :  "",  myDict)"
2001,35. write a Python function To Calculate Volume OF Cylinder,"def volume(r, h): 
    vol = 22/7 * r * r * h 
    return vol"
2002,"36. Recursive Python function to solve the tower of hanoi  
 given angle.","def TowerOfHanoi(n , source, destination, auxiliary): 
    if n==1: 
        print ""Move disk 1 from source"",source,""to destination"",destination 
        return
    TowerOfHanoi(n-1, source, auxiliary, destination) 
    print ""Move disk"",n,""from source"",source,""to destination"",destination 
    TowerOfHanoi(n-1, auxiliary, destination, source) 
n = 4
TowerOfHanoi(n,'A','B','C') 
Python 3 program to find time for a"
2003,"37. python function to find angle between hour hand and minute hand 
     Calculate the angles moved by 
     hour and minute hands with  
     reference to 12:00 
     Find the difference between 
     two angles 
     Return the smaller angle of two 
     possible angles","def calcAngle(hh, mm): 
    hour_angle = 0.5 * (hh * 60 + mm) 
    minute_angle = 6 * mm 
    angle = abs(hour_angle - minute_angle) 
    angle = min(360 - angle, angle) 
    return angle"
2004,"38. python function to print all time when angle between hour hand and minute 
 hand is theta","def printTime(theta): 
    for hh in range(0, 12): 
        for mm in range(0, 60): 
            if (calcAngle(hh, mm)==theta): 
                print(hh, "":"", mm, sep = """") 
                return
    print(""Input angle not valid."") 
    return"
2005,41. python function for finding cosine angle,"def cosine(angle):
    """""" returns the cosine value for an angle mentioned in radians""""""
    return math.cos(angle)"
2006,42. python function for finding the derivative of cosine angle,"def dcosine(angle):
    """""" returns the cosine value for an angle mentioned in radians""""""
    return -math.sin(angle)"
2007,43. python function for finding sine angle,"def sine(angle):
    """""" returns the sine value for an angle mentioned in radians""""""
    return math.sin(angle)"
2008,44. python function for finding the derivative of sine angle,"def dsine(angle):
    """""" returns the sine value for an angle mentioned in radians""""""
    return math.cos(angle)"
2009,45. python function for finding tangent angle,"def tangent(angle):
  """""" returns the tangent value for an angle mentioned in radians""""""
  return math.tan(angle)"
2010,46. python function for finding the derivative of tangent angle,"def dtangent(angle):
  """""" returns the tangent value for an angle mentioned in radians""""""
  return 1/(math.cos(angle)**2)"
2011,47. python function for finding the exponent of a number,"def exp(x):
  """"""returns e^x of a number""""""
  return math.exp(x)"
2012,48. python function for finding the derivative of exponent of a number,"def dexp(x):
    return math.exp(x)"
2013,49. python function for finding the logarithmic value of a number,"def log(x):
  """"""returns the logarithmic value of a number""""""
  return math.log(x)"
2014,50. python function for finding the derivative of logarithmic value of a number,"def dlog(x):
    return 1/x"
2015,51. python function for finding softmax output of a vector,"def softmax(x):
  """"""returns the softmax output of a vector""""""
  if(type(x) == int or type(x) == float):
    return 1
  denom = 0
  for i in x:
    denom+=math.exp(i)
  new_vec = []
  for i in x:
    new_vec.append(math.exp(i)/denom)
  return new_vec"
2016,52. python function for finding the hyperbolic tangent value of a number,"def tanh(x):
  """""" returns the hyperbolic tangent value of a number""""""
  return math.tanh(x)"
2017,53. python function for finding the derivative of hyperbolic tangent value of a number,"def dtanh(x):
  """""" returns the hyperbolic tangent value of a number""""""
  return 1 - (math.tanh(x)**2)"
2018,write a python function to check if a given string is a palindrome,"def isPalindrome(s):
    return s == s[::-1]"
2019,write a python function to check if a given string is symmetrical,"def symmetry(a): 
    n = len(a) 
    flag = 0
    if n%2: 
        mid = n//2 +1
    else: 
        mid = n//2
    start1 = 0
    start2 = mid 
    while(start1 < mid and start2 < n): 
        if (a[start1]== a[start2]): 
            start1 = start1 + 1
            start2 = start2 + 1
        else: 
            flag = 1
            break
    return flag"
2020,write a function to reverse words of string,"def rev_sentence(sentence):  
    words = sentence.split(' ')  
    reverse_sentence = ' '.join(reversed(words))  
    return reverse_sentence"
2021,write a program to check if a substring is present in a given string,"string = ""how are you?""
substring = ""are""
if (string.find(substring) == -1): 
    print(""NO"") 
else: 
    print(""YES"")"
2022,write a program to print length of a string,"str1 = ""great way to learn!""
print(len(str1))"
2023,write a program to print words frequncy in a given string,"test_str = ""It is a great meal at a great restaurant on a great day""
print(""Original String: "" + str(test_str))
res = {key: test_str.count(key) for key in test_str.split()} 
print(""The words frequency: "" + str(res))"
2024,write a program to print even length words in a string,"str1 = ""I am doing fine""
s = str1.split(' ')
for word in s:  
    if len(word)%2==0: 
        print(word)"
2025,write a program to accept the strings which contains all vowels,"str1 = ""__main__""
if len(set(str1).intersection(""AEIOUaeiou""))>=5: 
  print('accepted') 
else: 
  print(""not accepted"")"
2026,write a program to print count of number of unique matching characters in a pair of strings,"str1=""ababccd12@""
str2=""bb123cca1@""
matched_chars = set(str1) & set(str2) 
print(""No. of matching characters are : "" + str(len(matched_chars)) )"
2027,write a program to remove all duplicate characters from a string,"str1 = ""what a great day!""
print("""".join(set(str1)))"
2028,write a program to print least frequent character in a string,"str1=""watch the match""
all_freq = {} 
for i in str1: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = min(all_freq, key = all_freq.get)
print(""Minimum of all characters is: "" + str(res))"
2029,write a program to print maximum frequency character in a string,"str1 = ""watch the match""
all_freq = {} 
for i in str1: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = max(all_freq, key = all_freq.get)
print(""Maximum of all characters is: "" + str(res))"
2030,write a program to find and print all words which are less than a given length in a string,"str1 = ""It is wonderful and sunny day for a picnic in the park""
str_len = 5
res_str = [] 
text = str1.split("" "") 
for x in text: 
    if len(x) < str_len: 
        res_str.append(x) 
print(""Words that are less than "" + str(str_len) + "": "" + str(res_str))"
2031,write a program to split and join a string with a hyphen delimiter,"str1 = ""part of speech""
delimiter = ""-""
list_str = str1.split("" "")
new_str = delimiter.join(list_str)
print(""Delimited String is: "" + new_str)"
2032,write a program to check if a string is binary or not,"str1=""01110011 a""
set1 = set(str1)
if set1 == {'0','1'} or set1 == {'0'} or set1 == {'1'}:
    print(""string is binary"")
else:
    print(""string is not binary"")"
2033,write a function to remove i-th indexed character in a given string,"def remove_char(string, i):
    str1 = string[ : i]  
    str2 = string[i + 1: ] 
    return str1 + str2"
2034,write a function to find all urls in a given string,"import re 
def find_urls(string): 
    regex = r""(?i)\b((?:https?://|www\d{0,3}[.]|[a-z0-9.\-]+[.][a-z]{2,4}/)(?:[^\s()<>]+|\(([^\s()<>]+|(\([^\s()<>]+\)))*\))+(?:\(([^\s()<>]+|(\([^\s()<>]+\)))*\)|[^\s`!()\[\]{};:'\"".,<>?«»“”‘’]))""
    url = re.findall(regex,string)       
    return [x[0] for x in url]"
